,关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接
0,06936,A股、港股重要指数即将调整，泡泡玛特等新晋成份股有望迎来资金追捧,恒生A股可持续发展企业指数(800922.HK)纳入顺丰控股06936.HK)、 中信证券(600030.SH) 、建设银行,2025-09-08 07:35:58,券商中国,http://finance.eastmoney.com/a/202509083506968228.html
1,06936,顺丰控股：2025年中期净利润57.38亿元 同比增长19.37% 拟每股派息0.46元,中证智能财讯顺丰控股（06936）9月4日披露2025年中期报告。,2025-09-05 00:15:56,中国证券报·中证网,http://finance.eastmoney.com/a/202509053505180876.html
2,06936,借外卖大战“东风”：顺丰吃饱又吃好,8月28日，顺丰控股（002352/06936）及其子公司顺丰同城（09699）发布半年报。,2025-09-01 16:38:57,财中社,http://finance.eastmoney.com/a/202509013501082531.html
3,06936,上半年新进工业富联、顺丰 银华基金李晓星：消费电子具备可观修复空间,截至2025年二季度末，该基金的隐形重仓股依次为：顺丰控股（06936.HK）、龙旗科技（603341.SH）、立讯精密（,2025-08-29 15:11:13,澎湃新闻,http://finance.eastmoney.com/a/202508293499327845.html
4,06936,港股早报｜多家机构集体提高英伟达目标价 顺丰控股中期收入和净利均增超9%,公司要闻顺丰控股06936.HK.HK)：上半年收入1468.58亿元，同比增加9.26%；净利润57.38亿元，同比增加,2025-08-29 07:07:34,财联社,http://finance.eastmoney.com/a/202508293498550477.html
5,06936,顺丰控股2025半年报：营收利润双增彰显韧性 新业务与枢纽引擎共推全球化布局,8月28日晚间，顺丰控股（002352.SZ，06936.HK）披露2025年半年度报告。,2025-08-28 21:43:28,蓝鲸新闻,http://finance.eastmoney.com/a/202508283498349546.html
6,06936,差异化竞争优势助力出海 顺丰控股2025年中期营收1469亿元,8月28日晚间，顺丰控股（002352.SZ，06936.HK）披露2025年半年度报告。,2025-08-28 21:18:24,财联社,http://finance.eastmoney.com/a/202508283498310922.html
7,06936,差异化竞争优势助力出海 顺丰控股2025年中期营收1469亿元,8月28日晚间，顺丰控股（002352.SZ，06936.HK）披露2025年半年度报告。,2025-08-28 21:15:03,证券时报网,http://finance.eastmoney.com/a/202508283498306724.html
8,06936,港股公告精选｜中信证券上半年净赚超137亿元 中船防务中期盈利同比增约260%,8月28日讯财联社为您带来今日港股重要公告1）业绩速递顺丰控股06936.HK)：上半年收入1468.58,2025-08-28 20:09:33,财联社,http://finance.eastmoney.com/a/202508283498229462.html
9,06936,顺丰控股7月收入248.47亿元，同比增长9.95%,8月19日，顺丰控股（002352/06936）发布公告，2025年7月快递物流业务经营简报显示，公司2025年7月速运物流业务,2025-08-19 20:15:57,财中社,http://finance.eastmoney.com/a/202508193488368973.html
10,06936,加大新消费场景渗透 顺丰7月速运物流业务量增超33%,8月19日晚间，顺丰控股（002352.SZ，06936.HK）发布7月经营简报。,2025-08-19 21:23:04,蓝鲸新闻,http://finance.eastmoney.com/a/202508193488427237.html
11,06936,顺丰控股控股股东明德控股解除质押1600万股,7月25日，顺丰控股（002352/06936）发布公告，控股股东明德控股解除质押1600万股股份，占其所持股份的0.60%,2025-07-25 18:08:24,财中社,http://finance.eastmoney.com/a/202507253467742846.html
12,06936,充电宝新规风暴下的罗马仕：行业巨震中的存亡考验,顺丰（002352/06936）、中通（02057/ZTO）等物流企业暂停收寄问题充电宝，供应链几近瘫痪。,2025-08-08 10:52:01,财中社,http://finance.eastmoney.com/a/202508083479740352.html
13,06936,顺丰控股已回购2327万股 金额约8.59亿元,顺丰控股（002352/06936）发布公告，截至2025年4月7日，公司已回购2327万股，占总股本的0.47%，回购总金额约为,2025-04-08 09:28:28,财中社,http://finance.eastmoney.com/a/202504083368406310.html
14,06936,顺丰控股控股股东质押5300万股,3月19日，顺丰控股（002352/06936）发布公告，控股股东深圳明德控股发展有限公司质押5300万股，占其所持股份比例的,2025-03-19 19:59:06,财中社,http://finance.eastmoney.com/a/202503193350226557.html
15,06936,顺丰控股子公司回购部分美元债券,6月2日，顺丰控股（002352/06936）发布公告，境外全资子公司SFHI及SFHI2021于2025年5月22日宣布要约回购不超过,2025-06-02 19:01:51,财中社,http://finance.eastmoney.com/a/202506023419923364.html
16,06936,顺丰控股累计回购2077万股 金额约7.58亿元,4月2日，顺丰控股（002352/06936）公告，截至2025年3月31日，公司已累计回购2077万股，占总股本的0.42%,2025-04-02 19:08:40,财中社,http://finance.eastmoney.com/a/202504023363729447.html
17,06936,顺丰控股控股股东解除质押7000万股,4月8日，顺丰控股（002352/06936）发布公告，控股股东深圳明德控股发展有限公司于2025年4月7日解除部分A,2025-04-08 17:21:55,财中社,http://finance.eastmoney.com/a/202504083369531046.html
18,06936,顺丰控股6月收入达262.54亿元 同比增长13.43%,7月18日，顺丰控股（002352/06936）发布公告，2025年6月快递物流业务经营简报显示，公司2025年6月速运物流业务和供应链及国际业务合计收入为,2025-07-18 18:16:03,财中社,http://finance.eastmoney.com/a/202507183461286331.html
19,06936,顺丰控股速运物流业务收入178.97亿元 同比增长10.61%,4月17日，顺丰控股（002352/06936）发布公告，2025年3月的快递物流业务经营简报显示，公司速运物流业务及供应链与国际业务合计收入为,2025-04-17 18:58:11,财中社,http://finance.eastmoney.com/a/202504173380086538.html
20,06936,顺丰控股发起南方顺丰物流REIT于4月21日在深交所上市,顺丰控股（002352/06936）发布公告，公司作为发起人的南方顺丰物流REIT于2025年4月21日在深圳证券交易所上市,2025-04-21 18:57:03,财中社,http://finance.eastmoney.com/a/202504213383137924.html
21,06936,顺丰控股5月收入251.13亿元 同比增11.34%,6月19日，顺丰控股（002352/06936）发布公告，2025年5月快递物流业务经营简报显示，公司在该月的速运物流业务和供应链及国际业务合计收入为,2025-06-19 20:01:10,财中社,http://finance.eastmoney.com/a/202506193435244857.html
22,06936,顺丰控股2月速运物流业务营业收入131.49亿元 同比增3.81%,3月19日，顺丰控股（002352/06936）发布公告，披露了2025年2月的快递物流业务经营简报。,2025-03-19 19:07:47,财中社,http://finance.eastmoney.com/a/202503193350201536.html
23,06936,顺丰控股806万份股票期权行权条件达成，行权价40.199元/股,6月9日，顺丰控股（002352/06936）发布公告，关于2022年A股股票期权激励计划首次授予股票期权第三个行权期行权条件成就的事项,2025-06-09 19:01:10,财中社,http://finance.eastmoney.com/a/202506093425588217.html
